,Nombre,Tipo,Provincia,Poblacion,lon,lat,uri
239,Urroz,Municipio,Navarra,183.0,-1.7061,43.1014,http://www.wikidata.org/entity/Q1647396
240,Aibar/Oibar,Municipio,Navarra,805.0,-1.3594,42.5894,http://www.wikidata.org/entity/Q1645830
241,Villatuerta,Municipio,Navarra,1191.0,-1.9934,42.6595,http://www.wikidata.org/entity/Q984886
242,Olaibar,Municipio,Navarra,378.0,-1.6028,42.8858,http://www.wikidata.org/entity/Q1647477
243,Cintruénigo,Municipio,Navarra,7903.0,-1.805,42.08,http://www.wikidata.org/entity/Q1637322
244,Sorlada,Municipio,Navarra,57.0,-2.2153,42.615,http://www.wikidata.org/entity/Q1647408
245,Burgui/Burgi,Municipio,Navarra,207.0,-1.0008,42.7211,http://www.wikidata.org/entity/Q1637042
246,Allo,Municipio,Navarra,968.0,-2.0192,42.5672,http://www.wikidata.org/entity/Q1635672
247,Arruazu,Municipio,Navarra,110.0,-1.999,42.922,http://www.wikidata.org/entity/Q1645811
248,Eslava,Municipio,Navarra,111.0,-1.4572,42.565,http://www.wikidata.org/entity/Q1641801
249,Ezcabarte,Municipio,Navarra,1805.0,-1.6208,42.8633,http://www.wikidata.org/entity/Q1641808
250,Uharte Arakil,Municipio,Navarra,805.0,-1.9691,42.9209,http://www.wikidata.org/entity/Q1647888
251,Anue,Municipio,Navarra,482.0,-1.6061,42.9625,http://www.wikidata.org/entity/Q1636204
252,Urdiain,Municipio,Navarra,653.0,-2.1331,42.8831,http://www.wikidata.org/entity/Q1647425
253,Caparroso,Municipio,Navarra,2766.0,-1.6507,42.3398,http://www.wikidata.org/entity/Q1641846
